order_id,quantity,unit_price,line_item,deal_size,order_date,status,quarter,month_num,year,product_id,customer_id
10375,21,34.91,12,Small,2/3/05 0:00,Shipped,1,2,2005,S10_1678,15
10388,42,76.36,4,Medium,3/3/05 0:00,Shipped,1,3,2005,S10_1678,22
10403,24,100,7,Small,4/8/05 0:00,Shipped,2,4,2005,S10_1678,23
10417,66,100,2,Large,5/13/05 0:00,Disputed,2,5,2005,S10_1678,24
10103,26,100,11,Medium,1/29/03 0:00,Shipped,1,1,2003,S10_1949,18
10112,29,100,1,Large,3/24/03 0:00,Shipped,1,3,2003,S10_1949,25
10126,38,100,11,Large,5/28/03 0:00,Shipped,2,5,2003,S10_1949,26
10140,37,100,11,Large,7/24/03 0:00,Shipped,3,7,2003,S10_1949,6
10150,45,100,8,Large,9/19/03 0:00,Shipped,3,9,2003,S10_1949,27
10163,21,100,1,Medium,10/20/03 0:00,Shipped,4,10,2003,S10_1949,28
10174,34,100,4,Large,11/6/03 0:00,Shipped,4,11,2003,S10_1949,29
10183,23,100,8,Medium,11/13/03 0:00,Shipped,4,11,2003,S10_1949,30
10194,42,100,11,Large,11/25/03 0:00,Shipped,4,11,2003,S10_1949,31
10206,47,100,6,Large,12/5/03 0:00,Shipped,4,12,2003,S10_1949,32
10215,35,100,3,Medium,1/29/04 0:00,Shipped,1,1,2004,S10_1949,33
10228,29,100,2,Medium,3/10/04 0:00,Shipped,1,3,2004,S10_1949,34
10245,34,100,9,Medium,5/4/04 0:00,Shipped,2,5,2004,S10_1949,35
10258,32,100,6,Large,6/15/04 0:00,Shipped,2,6,2004,S10_1949,36
10270,21,100,9,Medium,7/19/04 0:00,Shipped,3,7,2004,S10_1949,21
10280,34,100,2,Large,8/17/04 0:00,Shipped,3,8,2004,S10_1949,37
10291,37,100,11,Large,9/8/04 0:00,Shipped,3,9,2004,S10_1949,38
10304,47,100,6,Large,10/11/04 0:00,Shipped,4,10,2004,S10_1949,39
10312,48,100,3,Large,10/21/04 0:00,Shipped,4,10,2004,S10_1949,40
10322,40,100,1,Medium,11/4/04 0:00,Shipped,4,11,2004,S10_1949,41
10333,26,100,3,Medium,11/18/04 0:00,Shipped,4,11,2004,S10_1949,9
10347,30,100,1,Medium,11/29/04 0:00,Shipped,4,11,2004,S10_1949,11
10357,32,100,10,Medium,12/10/04 0:00,Shipped,4,12,2004,S10_1949,40
10369,41,100,2,Medium,1/20/05 0:00,Shipped,1,1,2005,S10_1949,42
10381,36,100,3,Large,2/17/05 0:00,Shipped,1,2,2005,S10_1949,5
10391,24,100,4,Small,3/9/05 0:00,Shipped,1,3,2005,S10_1949,43
10411,23,100,9,Medium,5/1/05 0:00,Shipped,2,5,2005,S10_1949,44
10424,50,100,6,Large,5/31/05 0:00,In Process,2,5,2005,S10_1949,24
10107,39,99.91,5,Medium,2/24/03 0:00,Shipped,1,2,2003,S10_2016,1
10120,29,96.34,3,Small,4/29/03 0:00,Shipped,2,4,2003,S10_2016,11
10134,27,100,5,Medium,7/1/03 0:00,Shipped,3,7,2003,S10_2016,3
10145,37,100,9,Medium,8/25/03 0:00,Shipped,3,8,2003,S10_2016,4
10159,37,100,17,Medium,10/10/03 0:00,Shipped,4,10,2003,S10_2016,5
10168,27,100,4,Medium,10/28/03 0:00,Shipped,4,10,2003,S10_2016,6
10180,42,100,12,Medium,11/11/03 0:00,Shipped,4,11,2003,S10_2016,7
10188,38,96.34,4,Medium,11/18/03 0:00,Shipped,4,11,2003,S10_2016,8
10201,24,100,5,Medium,12/1/03 0:00,Shipped,4,12,2003,S10_2016,9
10210,23,100,2,Medium,1/12/04 0:00,Shipped,1,1,2004,S10_2016,45
10223,47,100,4,Medium,2/20/04 0:00,Shipped,1,2,2004,S10_2016,11
10236,22,100,1,Small,4/3/04 0:00,Shipped,2,4,2004,S10_2016,46
10251,44,100,5,Medium,5/18/04 0:00,Shipped,2,5,2004,S10_2016,13
10263,40,100,5,Medium,6/28/04 0:00,Shipped,2,6,2004,S10_2016,14
10275,22,100,4,Small,7/23/04 0:00,Shipped,3,7,2004,S10_2016,15
10285,47,100,9,Medium,8/27/04 0:00,Shipped,3,8,2004,S10_2016,16
10298,39,96.34,1,Medium,9/27/04 0:00,Shipped,3,9,2004,S10_2016,47
10308,34,100,2,Medium,10/15/04 0:00,Shipped,4,10,2004,S10_2016,48
10318,45,100,4,Medium,11/2/04 0:00,Shipped,4,11,2004,S10_2016,19
10329,20,100,2,Medium,11/15/04 0:00,Shipped,4,11,2004,S10_2016,1
10339,40,68.92,4,Small,11/23/04 0:00,Shipped,4,11,2004,S10_2016,36
10361,26,51.15,8,Small,12/17/04 0:00,Shipped,4,12,2004,S10_2016,21
10374,39,100,5,Medium,2/2/05 0:00,Shipped,1,2,2005,S10_2016,29
10388,50,44.51,5,Small,3/3/05 0:00,Shipped,1,3,2005,S10_2016,22
10402,45,100,1,Medium,4/7/05 0:00,Shipped,2,4,2005,S10_2016,10
10417,45,100,5,Medium,5/13/05 0:00,Disputed,2,5,2005,S10_2016,24
10107,27,100,4,Medium,2/24/03 0:00,Shipped,1,2,2003,S10_4698,1
10120,46,100,2,Large,4/29/03 0:00,Shipped,2,4,2003,S10_4698,11
10134,31,100,4,Large,7/1/03 0:00,Shipped,3,7,2003,S10_4698,3
10145,33,100,8,Medium,8/25/03 0:00,Shipped,3,8,2003,S10_4698,4
10159,22,100,16,Medium,10/10/03 0:00,Shipped,4,10,2003,S10_4698,5
10168,20,100,3,Medium,10/28/03 0:00,Shipped,4,10,2003,S10_4698,6
10180,41,100,11,Large,11/11/03 0:00,Shipped,4,11,2003,S10_4698,7
10188,45,100,3,Large,11/18/03 0:00,Shipped,4,11,2003,S10_4698,8
10201,49,100,4,Large,12/1/03 0:00,Shipped,4,12,2003,S10_4698,9
10210,34,100,1,Medium,1/12/04 0:00,Shipped,1,1,2004,S10_4698,45
10223,49,100,3,Large,2/20/04 0:00,Shipped,1,2,2004,S10_4698,11
10237,39,100,9,Large,4/5/04 0:00,Shipped,2,4,2004,S10_4698,12
10251,43,100,4,Large,5/18/04 0:00,Shipped,2,5,2004,S10_4698,13
10263,41,100,4,Large,6/28/04 0:00,Shipped,2,6,2004,S10_4698,14
10275,36,100,3,Medium,7/23/04 0:00,Shipped,3,7,2004,S10_4698,15
10285,27,100,8,Medium,8/27/04 0:00,Shipped,3,8,2004,S10_4698,16
10299,29,100,11,Medium,9/30/04 0:00,Shipped,3,9,2004,S10_4698,17
10308,20,100,1,Medium,10/15/04 0:00,Shipped,4,10,2004,S10_4698,48
10318,37,100,3,Large,11/2/04 0:00,Shipped,4,11,2004,S10_4698,19
10329,26,100,3,Medium,11/15/04 0:00,Shipped,4,11,2004,S10_4698,1
10339,39,76.67,3,Small,11/23/04 0:00,Shipped,4,11,2004,S10_4698,36
10362,22,100,4,Medium,1/5/05 0:00,Shipped,1,1,2005,S10_4698,6
10374,22,100,1,Medium,2/2/05 0:00,Shipped,1,2,2005,S10_4698,29
10388,21,86.77,7,Small,3/3/05 0:00,Shipped,1,3,2005,S10_4698,22
10403,66,100,9,Large,4/8/05 0:00,Shipped,2,4,2005,S10_4698,23
10417,56,100,4,Large,5/13/05 0:00,Disputed,2,5,2005,S10_4698,24
10105,50,100,2,Large,2/11/03 0:00,Shipped,1,2,2003,S10_4757,49
10119,46,100,11,Medium,4/28/03 0:00,Shipped,2,4,2003,S10_4757,20
10129,33,100,2,Medium,6/12/03 0:00,Shipped,2,6,2003,S10_4757,50
10143,49,100,15,Medium,8/10/03 0:00,Shipped,3,8,2003,S10_4757,51
10155,32,100,13,Medium,10/6/03 0:00,Shipped,4,10,2003,S10_4757,17
10167,44,100,9,Medium,10/23/03 0:00,Cancelled,4,10,2003,S10_4757,38
10178,24,100,12,Medium,11/8/03 0:00,Shipped,4,11,2003,S10_4757,52
10186,26,100,9,Medium,11/14/03 0:00,Shipped,4,11,2003,S10_4757,53
10197,45,100,6,Medium,11/26/03 0:00,Shipped,4,11,2003,S10_4757,54
10209,39,100,8,Medium,1/9/04 0:00,Shipped,1,1,2004,S10_4757,55
10222,49,100,12,Medium,2/19/04 0:00,Shipped,1,2,2004,S10_4757,56
10248,20,100,3,Small,5/7/04 0:00,Cancelled,2,5,2004,S10_4757,1
10261,27,100,1,Medium,6/17/04 0:00,Shipped,2,6,2004,S10_4757,44
10273,30,100,4,Medium,7/21/04 0:00,Shipped,3,7,2004,S10_4757,57
10283,25,100,6,Small,8/20/04 0:00,Shipped,3,8,2004,S10_4757,58
10295,24,100,1,Medium,9/10/04 0:00,Shipped,3,9,2004,S10_4757,59
10307,22,100,9,Small,10/14/04 0:00,Shipped,4,10,2004,S10_4757,30
10316,33,100,17,Medium,11/1/04 0:00,Shipped,4,11,2004,S10_4757,60
10325,47,64.93,6,Medium,11/5/04 0:00,Shipped,4,11,2004,S10_4757,18
10337,25,48.05,8,Small,11/21/04 0:00,Shipped,4,11,2004,S10_4757,28
10350,26,75.47,5,Small,12/2/04 0:00,Shipped,4,12,2004,S10_4757,24
10359,48,54.68,6,Small,12/15/04 0:00,Shipped,4,12,2004,S10_4757,2
10373,39,100,3,Medium,1/31/05 0:00,Shipped,1,1,2005,S10_4757,61
10384,34,100,4,Medium,2/23/05 0:00,Shipped,1,2,2005,S10_4757,5
10395,32,100,2,Medium,3/17/05 0:00,Shipped,1,3,2005,S10_4757,3
10400,64,100,9,Large,4/1/05 0:00,Shipped,2,4,2005,S10_4757,62
10414,19,100,3,Small,5/6/05 0:00,On Hold,2,5,2005,S10_4757,59
10103,42,100,4,Medium,1/29/03 0:00,Shipped,1,1,2003,S10_4962,18
10114,31,100,8,Medium,4/1/03 0:00,Shipped,2,4,2003,S10_4962,63
10126,22,100,4,Medium,5/28/03 0:00,Shipped,2,5,2003,S10_4962,26
10140,26,100,4,Medium,7/24/03 0:00,Shipped,3,7,2003,S10_4962,6
10150,20,100,1,Medium,9/19/03 0:00,Shipped,3,9,2003,S10_4962,27
10164,21,100,2,Medium,10/21/03 0:00,Resolved,4,10,2003,S10_4962,64
10175,33,100,9,Medium,11/6/03 0:00,Shipped,4,11,2003,S10_4962,50
10183,28,100,1,Medium,11/13/03 0:00,Shipped,4,11,2003,S10_4962,30
10194,26,100,4,Medium,11/25/03 0:00,Shipped,4,11,2003,S10_4962,31
10207,31,100,15,Medium,12/9/03 0:00,Shipped,4,12,2003,S10_4962,65
10217,48,100,4,Large,2/4/04 0:00,Shipped,1,2,2004,S10_4962,66
10229,50,100,9,Medium,3/11/04 0:00,Shipped,1,3,2004,S10_4962,40
10245,28,100,2,Medium,5/4/04 0:00,Shipped,2,5,2004,S10_4962,35
10259,26,100,12,Medium,6/15/04 0:00,Shipped,2,6,2004,S10_4962,66
10270,32,100,2,Medium,7/19/04 0:00,Shipped,3,7,2004,S10_4962,21
10281,44,100,9,Large,8/19/04 0:00,Shipped,3,8,2004,S10_4962,19
10291,30,100,4,Medium,9/8/04 0:00,Shipped,3,9,2004,S10_4962,38
10305,38,100,13,Medium,10/13/04 0:00,Shipped,4,10,2004,S10_4962,16
10313,40,100,7,Medium,10/22/04 0:00,Shipped,4,10,2004,S10_4962,32
10322,46,61.99,8,Small,11/4/04 0:00,Shipped,4,11,2004,S10_4962,41
10334,26,100,2,Medium,11/19/04 0:00,On Hold,4,11,2004,S10_4962,25
10347,27,100,2,Medium,11/29/04 0:00,Shipped,4,11,2004,S10_4962,11
10357,43,100,9,Medium,12/10/04 0:00,Shipped,4,12,2004,S10_4962,40
10370,35,65.63,4,Small,1/20/05 0:00,Shipped,1,1,2005,S10_4962,43
10381,37,100,6,Medium,2/17/05 0:00,Shipped,1,2,2005,S10_4962,5
10391,37,46.9,7,Small,3/9/05 0:00,Shipped,1,3,2005,S10_4962,43
10411,27,100,2,Medium,5/1/05 0:00,Shipped,2,5,2005,S10_4962,44
10425,38,100,12,Medium,5/31/05 0:00,In Process,2,5,2005,S10_4962,15
10108,33,100,6,Medium,3/3/03 0:00,Shipped,1,3,2003,S12_1099,67
10122,42,100,10,Large,5/8/03 0:00,Shipped,2,5,2003,S12_1099,68
10135,42,100,7,Large,7/2/03 0:00,Shipped,3,7,2003,S12_1099,40
10147,48,100,7,Large,9/5/03 0:00,Shipped,3,9,2003,S12_1099,42
10159,41,100,2,Large,10/10/03 0:00,Shipped,4,10,2003,S12_1099,5
10169,30,100,2,Medium,11/4/03 0:00,Shipped,4,11,2003,S12_1099,43
10181,27,100,14,Medium,11/12/03 0:00,Shipped,4,11,2003,S12_1099,8
10191,21,100,3,Medium,11/20/03 0:00,Shipped,4,11,2003,S12_1099,69
10203,20,100,8,Medium,12/2/03 0:00,Shipped,4,12,2003,S12_1099,24
10211,41,100,2,Large,1/15/04 0:00,Shipped,1,1,2004,S12_1099,10
10225,27,100,9,Medium,2/22/04 0:00,Shipped,1,2,2004,S12_1099,70
10238,28,100,3,Medium,4/9/04 0:00,Shipped,2,4,2004,S12_1099,49
10253,24,100,13,Medium,6/1/04 0:00,Cancelled,2,6,2004,S12_1099,23
10266,44,100,14,Large,7/6/04 0:00,Shipped,3,7,2004,S12_1099,71
10276,50,100,3,Large,8/2/04 0:00,Shipped,3,8,2004,S12_1099,72
10287,21,100,12,Medium,8/30/04 0:00,Shipped,3,8,2004,S12_1099,70
10300,33,100,5,Medium,10/4/03 0:00,Shipped,4,10,2003,S12_1099,73
10310,33,100,10,Medium,10/16/04 0:00,Shipped,4,10,2004,S12_1099,69
10320,31,100,3,Medium,11/3/04 0:00,Shipped,4,11,2004,S12_1099,25
10329,41,71.47,5,Small,11/15/04 0:00,Shipped,4,11,2004,S12_1099,1
10341,45,79.65,2,Medium,11/24/04 0:00,Shipped,4,11,2004,S12_1099,20
10363,33,85.39,3,Small,1/6/05 0:00,Shipped,1,1,2005,S12_1099,74
10375,45,76,7,Medium,2/3/05 0:00,Shipped,1,2,2005,S12_1099,15
10389,26,99.04,4,Small,3/3/05 0:00,Shipped,1,3,2005,S12_1099,38
10419,12,100,13,Small,5/17/05 0:00,Shipped,2,5,2005,S12_1099,20
10105,41,100,15,Large,2/11/03 0:00,Shipped,1,2,2003,S12_1108,49
10117,33,100,9,Medium,4/16/03 0:00,Shipped,2,4,2003,S12_1108,27
10127,46,100,2,Large,6/3/03 0:00,Shipped,2,6,2003,S12_1108,75
10142,33,100,12,Large,8/8/03 0:00,Shipped,3,8,2003,S12_1108,40
10153,20,100,11,Medium,9/28/03 0:00,Shipped,3,9,2003,S12_1108,24
10165,44,100,3,Large,10/22/03 0:00,Shipped,4,10,2003,S12_1108,27
10176,33,100,2,Large,11/6/03 0:00,Shipped,4,11,2003,S12_1108,71
10185,21,100,13,Medium,11/14/03 0:00,Shipped,4,11,2003,S12_1108,51
10196,47,100,5,Large,11/26/03 0:00,Shipped,4,11,2003,S12_1108,35
10208,46,100,13,Large,1/2/04 0:00,Shipped,1,1,2004,S12_1108,31
10220,32,100,2,Large,2/12/04 0:00,Shipped,1,2,2004,S12_1108,76
10231,42,100,2,Large,3/19/04 0:00,Shipped,1,3,2004,S12_1108,77
10247,44,100,2,Large,5/5/04 0:00,Shipped,2,5,2004,S12_1108,74
10272,35,100,2,Medium,7/20/04 0:00,Shipped,3,7,2004,S12_1108,19
10282,41,100,5,Large,8/20/04 0:00,Shipped,3,8,2004,S12_1108,40
10293,46,100,8,Large,9/9/04 0:00,Shipped,3,9,2004,S12_1108,37
10306,31,100,13,Medium,10/14/04 0:00,Shipped,4,10,2004,S12_1108,78
10314,38,100,5,Large,10/22/04 0:00,Shipped,4,10,2004,S12_1108,79
10325,42,64,8,Small,11/5/04 0:00,Shipped,4,11,2004,S12_1108,18
10336,33,57.22,10,Small,11/20/04 0:00,Shipped,4,11,2004,S12_1108,63
10348,48,52.36,8,Small,11/1/04 0:00,Shipped,4,11,2004,S12_1108,26
10359,42,100,8,Medium,12/15/04 0:00,Shipped,4,12,2004,S12_1108,2
10371,32,100,6,Medium,1/23/05 0:00,Shipped,1,1,2005,S12_1108,40
10382,34,100,10,Medium,2/17/05 0:00,Shipped,1,2,2005,S12_1108,40
10395,33,69.12,1,Small,3/17/05 0:00,Shipped,1,3,2005,S12_1108,3
10413,36,100,2,Large,5/5/05 0:00,Shipped,2,5,2005,S12_1108,14
10103,27,100,8,Medium,1/29/03 0:00,Shipped,1,1,2003,S12_1666,18
10113,21,100,2,Medium,3/26/03 0:00,Shipped,1,3,2003,S12_1666,40
10126,21,100,8,Small,5/28/03 0:00,Shipped,2,5,2003,S12_1666,26
10140,38,100,8,Medium,7/24/03 0:00,Shipped,3,7,2003,S12_1666,6
10150,30,100,5,Medium,9/19/03 0:00,Shipped,3,9,2003,S12_1666,27
10164,49,100,6,Medium,10/21/03 0:00,Resolved,4,10,2003,S12_1666,64
10174,43,100,1,Medium,11/6/03 0:00,Shipped,4,11,2003,S12_1666,29
10183,41,100,5,Medium,11/13/03 0:00,Shipped,4,11,2003,S12_1666,30
10194,38,100,8,Medium,11/25/03 0:00,Shipped,4,11,2003,S12_1666,31
10206,28,100,3,Medium,12/5/03 0:00,Shipped,4,12,2003,S12_1666,32
10216,43,100,1,Medium,2/2/04 0:00,Shipped,1,2,2004,S12_1666,39
10229,25,100,13,Medium,3/11/04 0:00,Shipped,1,3,2004,S12_1666,40
10245,38,100,6,Medium,5/4/04 0:00,Shipped,2,5,2004,S12_1666,35
10258,41,100,3,Medium,6/15/04 0:00,Shipped,2,6,2004,S12_1666,36
10270,28,100,6,Medium,7/19/04 0:00,Shipped,3,7,2004,S12_1666,21
10281,25,100,13,Small,8/19/04 0:00,Shipped,3,8,2004,S12_1666,19
10291,41,100,8,Medium,9/8/04 0:00,Shipped,3,9,2004,S12_1666,38
10304,39,100,3,Medium,10/11/04 0:00,Shipped,4,10,2004,S12_1666,39
10313,21,100,11,Small,10/22/04 0:00,Shipped,4,10,2004,S12_1666,32
10322,27,100,9,Medium,11/4/04 0:00,Shipped,4,11,2004,S12_1666,41
10333,33,99.21,6,Medium,11/18/04 0:00,Shipped,4,11,2004,S12_1666,9
10347,29,100,3,Medium,11/29/04 0:00,Shipped,4,11,2004,S12_1666,11
10357,49,100,8,Medium,12/10/04 0:00,Shipped,4,12,2004,S12_1666,40
10370,49,100,8,Large,1/20/05 0:00,Shipped,1,1,2005,S12_1666,43
10381,20,100,1,Small,2/17/05 0:00,Shipped,1,2,2005,S12_1666,5
10391,39,63.2,9,Small,3/9/05 0:00,Shipped,1,3,2005,S12_1666,43
10411,40,100,6,Medium,5/1/05 0:00,Shipped,2,5,2005,S12_1666,44
10424,49,100,3,Large,5/31/05 0:00,In Process,2,5,2005,S12_1666,24
10107,21,100,1,Medium,2/24/03 0:00,Shipped,1,2,2003,S12_2823,1
10121,50,100,4,Large,5/7/03 0:00,Shipped,2,5,2003,S12_2823,2
10134,20,100,1,Small,7/1/03 0:00,Shipped,3,7,2003,S12_2823,3
10145,49,100,5,Large,8/25/03 0:00,Shipped,3,8,2003,S12_2823,4
10159,38,100,13,Medium,10/10/03 0:00,Shipped,4,10,2003,S12_2823,5
10169,35,100,13,Medium,11/4/03 0:00,Shipped,4,11,2003,S12_2823,43
10180,40,100,8,Medium,11/11/03 0:00,Shipped,4,11,2003,S12_2823,7
10189,28,100,1,Medium,11/18/03 0:00,Shipped,4,11,2003,S12_2823,4
10201,25,100,1,Medium,12/1/03 0:00,Shipped,4,12,2003,S12_2823,9
10211,36,100,13,Medium,1/15/04 0:00,Shipped,1,1,2004,S12_2823,10
10224,43,100,6,Medium,2/21/04 0:00,Shipped,1,2,2004,S12_2823,7
10237,32,100,6,Medium,4/5/04 0:00,Shipped,2,4,2004,S12_2823,12
10251,46,100,1,Large,5/18/04 0:00,Shipped,2,5,2004,S12_2823,13
10263,48,100,1,Medium,6/28/04 0:00,Shipped,2,6,2004,S12_2823,14
10276,43,100,14,Medium,8/2/04 0:00,Shipped,3,8,2004,S12_2823,72
10285,49,100,5,Medium,8/27/04 0:00,Shipped,3,8,2004,S12_2823,16
10299,24,100,8,Medium,9/30/04 0:00,Shipped,3,9,2004,S12_2823,17
10309,26,100,4,Medium,10/15/04 0:00,Shipped,4,10,2004,S12_2823,18
10319,30,100,9,Medium,11/3/04 0:00,Shipped,4,11,2004,S12_2823,80
10329,24,100,6,Medium,11/15/04 0:00,Shipped,4,11,2004,S12_2823,1
10341,55,100,8,Large,11/24/04 0:00,Shipped,4,11,2004,S12_2823,20
10362,22,100,1,Medium,1/5/05 0:00,Shipped,1,1,2005,S12_2823,6
10375,49,78.92,13,Medium,2/3/05 0:00,Shipped,1,2,2005,S12_2823,15
10388,44,100,6,Medium,3/3/05 0:00,Shipped,1,3,2005,S12_2823,22
10403,66,100,6,Large,4/8/05 0:00,Shipped,2,4,2005,S12_2823,23
10417,21,100,1,Medium,5/13/05 0:00,Disputed,2,5,2005,S12_2823,24
10104,34,100,1,Medium,1/31/03 0:00,Shipped,1,1,2003,S12_3148,24
10117,43,100,10,Medium,4/16/03 0:00,Shipped,2,4,2003,S12_3148,27
10127,46,100,3,Large,6/3/03 0:00,Shipped,2,6,2003,S12_3148,75
10142,33,100,13,Medium,8/8/03 0:00,Shipped,3,8,2003,S12_3148,40
10153,42,100,12,Medium,9/28/03 0:00,Shipped,3,9,2003,S12_3148,24
10165,34,100,4,Medium,10/22/03 0:00,Shipped,4,10,2003,S12_3148,27
10176,47,100,3,Large,11/6/03 0:00,Shipped,4,11,2003,S12_3148,71
10185,33,100,14,Medium,11/14/03 0:00,Shipped,4,11,2003,S12_3148,51
10196,24,100,6,Medium,11/26/03 0:00,Shipped,4,11,2003,S12_3148,35
10208,26,100,14,Medium,1/2/04 0:00,Shipped,1,1,2004,S12_3148,31
10220,30,100,3,Medium,2/12/04 0:00,Shipped,1,2,2004,S12_3148,76
10230,43,100,1,Large,3/15/04 0:00,Shipped,1,3,2004,S12_3148,73
10247,25,100,3,Medium,5/5/04 0:00,Shipped,2,5,2004,S12_3148,74
10272,27,100,3,Medium,7/20/04 0:00,Shipped,3,7,2004,S12_3148,19
10282,27,100,6,Medium,8/20/04 0:00,Shipped,3,8,2004,S12_3148,40
10293,24,100,9,Medium,9/9/04 0:00,Shipped,3,9,2004,S12_3148,37
10306,34,100,14,Medium,10/14/04 0:00,Shipped,4,10,2004,S12_3148,78
10314,46,100,6,Medium,10/22/04 0:00,Shipped,4,10,2004,S12_3148,79
10324,27,54.33,1,Small,11/5/04 0:00,Shipped,4,11,2004,S12_3148,12
10336,33,100,11,Medium,11/20/04 0:00,Shipped,4,11,2004,S12_3148,63
10348,47,100,4,Medium,11/1/04 0:00,Shipped,4,11,2004,S12_3148,26
10358,49,55.34,5,Small,12/10/04 0:00,Shipped,4,12,2004,S12_3148,24
10372,40,100,4,Medium,1/26/05 0:00,Shipped,1,1,2005,S12_3148,36
10382,37,100,11,Medium,2/17/05 0:00,Shipped,1,2,2005,S12_3148,40
10413,47,100,3,Large,5/5/05 0:00,Shipped,2,5,2005,S12_3148,14
10108,45,100,4,Medium,3/3/03 0:00,Shipped,1,3,2003,S12_3380,67
10122,37,99.82,8,Medium,5/8/03 0:00,Shipped,2,5,2003,S12_3380,68
10135,48,100,5,Medium,7/2/03 0:00,Shipped,3,7,2003,S12_3380,40
10147,31,100,5,Medium,9/5/03 0:00,Shipped,3,9,2003,S12_3380,42
10160,46,100,6,Medium,10/11/03 0:00,Shipped,4,10,2003,S12_3380,55
10170,47,100,4,Medium,11/4/03 0:00,Shipped,4,11,2003,S12_3380,64
10181,28,100,12,Small,11/12/03 0:00,Shipped,4,11,2003,S12_3380,8
10191,40,100,1,Medium,11/20/03 0:00,Shipped,4,11,2003,S12_3380,69
10203,20,100,6,Small,12/2/03 0:00,Shipped,4,12,2003,S12_3380,24
10212,39,100,16,Medium,1/16/04 0:00,Shipped,1,1,2004,S12_3380,24
10225,25,99.82,7,Small,2/22/04 0:00,Shipped,1,2,2004,S12_3380,70
10238,29,100,1,Medium,4/9/04 0:00,Shipped,2,4,2004,S12_3380,49
10253,22,100,11,Small,6/1/04 0:00,Cancelled,2,6,2004,S12_3380,23
10266,22,100,12,Small,7/6/04 0:00,Shipped,3,7,2004,S12_3380,71
10276,47,100,1,Medium,8/2/04 0:00,Shipped,3,8,2004,S12_3380,72
10287,45,100,10,Medium,8/30/04 0:00,Shipped,3,8,2004,S12_3380,70
10300,29,100,3,Medium,10/4/03 0:00,Shipped,4,10,2003,S12_3380,73
10310,24,100,8,Medium,10/16/04 0:00,Shipped,4,10,2004,S12_3380,69
10320,35,100,1,Medium,11/3/04 0:00,Shipped,4,11,2004,S12_3380,25
10329,46,83.63,13,Medium,11/15/04 0:00,Shipped,4,11,2004,S12_3380,1
10341,44,95.93,1,Medium,11/24/04 0:00,Shipped,4,11,2004,S12_3380,20
10363,34,96.73,4,Medium,1/6/05 0:00,Shipped,1,1,2005,S12_3380,74
10376,35,100,1,Medium,2/8/05 0:00,Shipped,1,2,2005,S12_3380,81
10389,25,72.38,6,Small,3/3/05 0:00,Shipped,1,3,2005,S12_3380,38
10419,10,100,11,Small,5/17/05 0:00,Shipped,2,5,2005,S12_3380,20
10105,29,100,14,Medium,2/11/03 0:00,Shipped,1,2,2003,S12_3891,49
10117,39,100,8,Medium,4/16/03 0:00,Shipped,2,4,2003,S12_3891,27
10127,42,100,1,Large,6/3/03 0:00,Shipped,2,6,2003,S12_3891,75
10142,46,100,11,Large,8/8/03 0:00,Shipped,3,8,2003,S12_3891,40
10153,49,100,10,Large,9/28/03 0:00,Shipped,3,9,2003,S12_3891,24
10165,27,100,2,Medium,10/22/03 0:00,Shipped,4,10,2003,S12_3891,27
10176,50,100,1,Large,11/6/03 0:00,Shipped,4,11,2003,S12_3891,71
10185,43,100,12,Large,11/14/03 0:00,Shipped,4,11,2003,S12_3891,51
